movieid;actorid;as_character
3057075;23889;[Rajanna]  <1>
3175380;23889;[Akhil]  <1>
2380361;98355;(as Mahesh)  [Nanda Gopal/Nandu/Pardhu]  <1>
3110209;98355;[Chinnodu]  <2>
2335063;107008;[Harvey Gavin]  <3>
2493531;107008;(uncredited)  [Fixer]
2664505;107008;[Dan]  <1>
2766097;107008;(uncredited)  [Don, Brandy's Dad]
2769827;107008;[Joseph Rutter]  <1>
2844335;107008;[Nick Snyderburn]  <3>
2931408;107008;[King]  <9>
3254601;107008;[Carl Cunningham]  <4>
3261072;107008;[Brad Whitaker]  <4>
3388135;107008;[Dick Harbinger]  <1>
2456332;110631;[Mandras]  <3>
2596892;110631;[John Preston]  <1>
2605995;110631;[Moses]  <1>
2685185;110631;[Jim Luther Davis]  <1>
2686538;110631;(voice: English version)  [Howl]  <12>
2693587;110631;[Robin the Luggage-Boy]  <25>
2792967;110631;[Rick]  <1>
2995978;110631;[Russell Baze]  <5>
3045878;110631;[Melvin Purvis]  <15>
3069206;110631;[Dieter Dengler]  <3>
3197781;110631;[John Connor]  <1>
3235911;110631;[Dicky Eklund]  <2>
3265033;110631;[Himself]
2378446;114828;[Miguel Bain]  <2>
2490918;114828;[Himself]
2604654;114828;[Ché]  <2>
2639266;114828;[David Alfaro Siqueiros]  <3>
2687418;114828;[Rodrigo]  <6>
2747600;114828;[Armand]  <21>
2792967;114828;[Tonio]  <5>
2879851;114828;[El Camaleón 4]  <9>
2909527;114828;[Antonio]  <3>
2953729;114828;[Tony Ramirez]  <2>
2977416;114828;[Francisco]  <1>
2991678;114828;[Luis Antonio Vargas]  <1>
3018618;114828;[Miguel Alvarez]  <21>
3157444;114828;[Gregorio Cortez]  <1>
3201177;114828;[Ahmed Ibn Fahdlan]  <1>
3265434;114828;[Nestor Castillo]  <12>
3297278;114828;[Burger Beard]  <1>
3425302;114828;[Greg]  <10>
2354914;238270;[Jack Kelson]  <2>
2390458;238270;[Jake Rumsey]  <1>
2426330;238270;[James 'Jimmy' Dove/Liam McGivney]  <1>
2690318;238270;[John L. Bridges]  <8>
2705258;238270;(archive footage) (uncredited)  [Duane Jackson]
2789612;238270;(archive footage) (uncredited)  [Jack Prescott]
2791292;238270;[Rupert]  <3>
3132188;238270;[Lyle Carter]  <2>
3211323;238270;[The Dude]  <1>
3229858;238270;[Ted Cole]  <2>
