movieid;title;year;rank;releasedate
3175380;Super (2005);2005;5.0 ;2005-07-22
3110209;Seethamma Vakitlo Sirimalle Chettu (2013);2013;7.8 ;2013-01-11
2664505;Golden Needles (1974);1974;5.0 ;1974-07-17
2766097;Joe Dirt (2001);2001;5.9 ;2001-04-11
2931408;Mud (2012);2012;7.5 ;2013-05-10
3254601;The Killing Time (1987);1987;5.4 ;1987-10-23
2456332;Captain Corelli's Mandolin (2001);2001;5.9 ;2001-08-17
2596892;Equilibrium (2002);2002;7.5 ;2002-12-06
2685185;Harsh Times (2005);2005;7.0 ;2006-11-10
2693587;Henry V (1989);1989;7.8 ;1989-11-08
2995978;Out of the Furnace (2013);2013;6.8 ;2013-12-06
3265033;The Making of American Hustle (2014);2014;6.7 ;2014-03-18
2378446;Assassins (1995);1995;6.3 ;1995-10-06
2639266;Frida (2002);2002;7.4 ;2002-11-22
2879851;Machete Kills (2013);2013;5.6 ;2013-10-11
2991678;Original Sin (2001);2001;6.0 ;2001-08-03
3018618;Philadelphia (1993);1993;7.7 ;1994-01-14
3157444;Spy Kids 3-D: Game Over (2003);2003;4.1 ;2003-07-25
3425302;You Will Meet a Tall Dark Stranger (2010);2010;6.3 ;2010-10-22
2354914;American Heart (1992);1992;6.8 ;1993-05-07
2426330;Blown Away (1994);1994;6.1 ;1994-07-01
2705258;Hollywood Mavericks (1990);1990;7.1 ;1990-09-07
2791292;Kiss Me Goodbye (1982);1982;6.1 ;1982-12-22
3132188;Simpatico (1999);1999;4.4 ;2000-02-04
3270566;The Morning After (1986);1986;6.0 ;1986-12-25
2844072;Lennon or McCartney (2014);2014;5.5 ;2014-12-12
3014753;Percy Jackson & the Olympians: The Lightning Thief (2010);2010;5.9 ;2010-02-12
3094474;Salvation Boulevard (2011);2011;5.3 ;2011-07-15
3240698;The Ghost Writer (2010);2010;7.2 ;2010-03-19
2991660;Original Gangstas (1996);1996;5.6 ;1996-05-10
3121452;She Hate Me (2004);2004;5.3 ;2004-07-30
3295150;The Slams (1973);1973;5.7 ;1973-09-26
2828587;Lara Croft Tomb Raider: The Cradle of Life (2003);2003;5.5 ;2003-07-25
3026319;Playing for Keeps (2012);2012;5.7 ;2012-12-07
3279381;The Phantom of the Opera (2004);2004;7.4 ;2004-12-22
2433452;Bottle Rocket (1996);1996;7.1 ;1996-02-21
2627037;Flesh and Bone (1993);1993;6.2 ;1993-11-05
2637882;Freebie and the Bean (1974);1974;6.6 ;1974-12-25
2654709;Get Smart (2008);2008;6.5 ;2008-06-20
2705258;Hollywood Mavericks (1990);1990;7.1 ;1990-09-07
2712488;House of Harrington (2008);2008;7.3 ;2009-01-01
2750091;Irma la Douce (1963);1963;7.5 ;1963-06-05
2791292;Kiss Me Goodbye (1982);1982;6.1 ;1982-12-22
2910652;Middle Men (2009);2009;6.6 ;2010-08-06
3200608;That's My Boy (2012);2012;5.6 ;2012-06-15
3242289;The Godfather (1972);1972;9.  ;1972-03-24
3254481;The Killer Elite (1975);1975;6.0 ;1975-12-19
3318951;This Is My Father (1998/I);1998;7.1 ;1999-05-07
2335197;Adaptation. (2002);2002;7.7 ;2003-02-14
2395234;Bangkok Dangerous (2008);2008;5.4 ;2008-09-05
2456332;Captain Corelli's Mandolin (2001);2001;5.9 ;2001-08-17
2614524;Fast Times at Ridgemont High (1982);1982;7.2 ;1982-09-03
2656037;Ghost Rider (2007);2007;5.2 ;2007-02-16
2841868;Leaving Las Vegas (1995);1995;7.6 ;1996-02-09
2897307;Matchstick Men (2003);2003;7.3 ;2003-09-12
3012741;Peggy Sue Got Married (1986);1986;6.3 ;1986-10-10
