name|title|year|rank|releasedate|agg_genres
Connery, Sean|Rising Sun (1993)|1993|6,2 |1993-07-30|Action;Crime;Drama;Mystery;Thriller
Ferrell, Will (I)|The Other Guys (2010)|2010|6,6 |2010-08-06|Action;Comedy;Crime
Culkin, Macaulay|Home Alone (1990)|1990|7,4 |1990-11-16|Comedy;Family
Clooney, George|Solaris (2002)|2002|6,2 |2002-11-27|Drama;Mystery;Romance;Sci-Fi
Trejo, Danny|The Contractor (2013/I)|2013|3,8 |2013-09-10|Crime;Drama;Thriller
Lawrence, Martin (I)|Nothing to Lose (1997)|1997|6,7 |1997-07-18|Action;Adventure;Comedy;Crime
Costner, Kevin|Tin Cup (1996)|1996|6,3 |1996-08-16|Comedy;Drama;Romance;Sport
Costner, Kevin|Fandango (1985)|1985|6,6 |1985-01-25|Comedy;Drama
DeVito, Danny|Relative Strangers (2006)|2006|5,3 |2006-05-01|Comedy
Quaid, Dennis|The Alamo (2004)|2004|6,0 |2004-04-09|Drama;History;War;Western
Aykroyd, Dan|My Girl 2 (1994)|1994|5,1 |1994-02-11|Comedy;Drama;Family;Romance
Caan, James (I)|Rabbit, Run (1970)|1970|5,5 |1970-10-01|Drama
Brody, Adrien|Hollywoodland (2006)|2006|6,5 |2006-09-08|Biography;Crime;Drama;History;Mystery;Romance;Thriller
James, Sidney (II)|Carry On... Up the Khyber (1968)|1968|6,8 |1968-12-12|Adventure;Comedy
Schemmel, Sean|Doragon bôru Z: Tobikkiri no saikyô tai saikyô (1991)|1991|7,5 |2002-01-22|Action;Animation;Sci-Fi
Jones, Tommy Lee|Black Moon Rising (1986)|1986|5,4 |1986-01-10|Action;Sci-Fi;Thriller
James, Sidney (II)|Carry on Cleo (1964)|1964|6,7 |1965-10-25|Comedy
Roberts, Eric (I)|La Cucaracha (1998)|1998|6,5 |1999-04-23|Comedy;Crime;Drama;Thriller
Hawke, Ethan|Mystery Date (1991)|1991|6,0 |1991-08-16|Comedy;Crime;Romance;Thriller
Hanks, Tom|Partysaurus Rex (2012)|2012|7,7 |2012-09-14|Animation;Comedy;Family;Short
Sandler, Adam (I)|Little Nicky (2000)|2000|5,3 |2000-11-10|Comedy;Fantasy
Nemec, Corin|Quality Time (2008/I)|2008|5,7 |2008-01-01|Comedy;Drama;Sci-Fi;Thriller
Kilmer, Val|The Doors (1991)|1991|7,2 |1991-03-01|Biography;Drama;Music;Musical
Streep, Meryl|Pollen (2011)|2011|7,6 |2013-04-16|Documentary
Downey Jr., Robert|Chaplin (1992)|1992|7,6 |1993-01-08|Biography;Drama
Quaid, Dennis|Movie 43 (2013)|2013|4,3 |2013-01-25|Comedy
Lee, Christopher (I)|The Brides of Fu Manchu (1966)|1966|5,6 |1966-12-16|Action;Crime;Horror;Sci-Fi
Depp, Johnny|Alice in Wonderland (2010/I)|2010|6,5 |2010-03-05|Adventure;Family;Fantasy
James, Sidney (II)|Carry on Again Doctor (1969)|1969|6,2 |1970-05-10|Comedy
Depp, Johnny|Nick of Time (1995)|1995|6,3 |1995-11-22|Action;Crime;Drama;Thriller
Kilmer, Val|Red Planet (2000)|2000|5,6 |2000-11-10|Action;Sci-Fi;Thriller
Streep, Meryl|Before and After (1996)|1996|6,1 |1996-02-23|Crime;Drama;Mystery
Caine, Michael (I)|The Last Valley (1971)|1971|7,4 |1971-01-28|Adventure;Drama;War
Van Dien, Casper|Tarzan and the Lost City (1998)|1998|3,9 |1998-04-24|Action;Adventure;Family;Fantasy
Cusack, John (I)|The Numbers Station (2013)|2013|5,6 |2013-04-26|Action;Thriller
Grant, Hugh (I)|Night Train to Venice (1996)|1996|2,1 |1996-09-28|Mystery;Thriller
Costner, Kevin|McFarland, USA (2015)|2015|7,5 |2015-02-20|Drama;Sport
